"iata","name","country_iso","city","elevation_ft","latitude_deg","longitude_deg"
"ABY","Albany","US","Albany",197.0,31.5329,-84.1962
"ABZ","Aberdeen","GB","Aberdeen",215.0,57.2019,-2.19778
"ACA","Acapulco","MX","Acapulco",16.0,16.7571,-99.754
"ACB","Antrim County, MI","US","Bellaire",623.0,44.9886,-85.1984
"ACC","Accra","GH","Accra",205.0,5.60519,-0.166786
"ACD","Acandi, CH","CO","Acandí",50.0,8.49785,-77.2741
"ACE","Arrecife","ES","Lanzarote",46.0,28.9455,-13.6052
"ACH","Altenrhein","CH","Altenrhein",1306.0,47.485,9.56077
"ACI","Alderney","GG","Alderney",290.0,49.7061,-2.21472
"ACK","Nantucket","US","Nantucket",47.0,41.2531,-70.0602
"ACM","Arica","CO","Arica",316.0,-2.14485,-71.7584
"ACN","Int'l","MX","Ciudad Acuna",1410.0,29.3337,-101.101
"ACR","Araracuara, CQ","CO","Araracuara",1250.0,-0.600854,-72.398
"ACS","Achinsk","RU","Achinsk",1033.0,56.2692,90.5751
"ACT","Regional, TX","US","Waco",516.0,31.6113,-97.2305
"ACU","Achutupo","PA","Achutupo",10.0,9.18848,-77.9942
"ACV","Arcata","US","Arcata",221.0,40.9781,-124.109
"ACY","Atlantic City","US","Atlantic City",75.0,39.4576,-74.5772
"ADA","Adana","TR","Adana",65.0,36.9822,35.2804
"ADB","Izmir","TR","Izmir",412.0,38.2924,27.157
"ADD","Addis Abeba","ET","Addis Ababa",7630.0,8.97789,38.7993
"ADE","Aden","YE","Aden",7.0,12.8295,45.0288
"ADF","Adiyaman","TR","Adiyaman",2216.0,37.7314,38.4689
"ADG","Lenawee County, MI","US","Adrian",798.0,41.8662,-84.078
"ADH","Aldan","RU","Aldan",2241.0,58.6028,125.409
"ADI","Arandis","NA","Arandis",1905.0,-22.4619,14.9793
"ADJ","Amman","JO","Amman",2555.0,31.9727,35.9916
"ADK","Adak NAF, AK","US","Adak Island",18.0,51.8836,-176.643
"ADL","Adelaide","AU","Adelaide",20.0,-34.9475,138.533
"ADM","Municipal, OK","US","Ardmore",777.0,34.303,-97.0196
"ADO","Andamooka, SA","AU","",76.0,-30.4383,137.137
"ADP","Anuradhapura","LK","Ampara",150.0,7.33674,81.6239
"ADQ","Kodiak, AK","US","Kodiak",78.0,57.75,-152.494
"ADR","Andrews Sc","US","Andrews Sc",26.0,33.4517,-79.5262
"ADS","Addison, TX","US","Dallas",644.0,32.9686,-96.8364
"ADT","Ada, OK","US","Ada",1016.0,34.8052,-96.672
"ADU","Ardabil","IR","Ardabil",4315.0,38.3257,48.4244
"ADV","Andover","SD","El Daein",1560.0,11.4023,26.1186
"ADW","Camp Springs MD","US","Camp Springs MD",280.0,38.8108,-76.867
"ADX","Leuchars","GB","Leuchars",38.0,56.374,-2.86886
"ADY","Alldays","ZA","Alldays",2600.0,-22.679,29.0555
"ADZ","Sesquicentenario, SA","CO","San Andres",19.0,12.5836,-81.7112
"AEA","Abemama Atoll","KI","Abemama",8.0,0.490833,173.829
"AEG","Aek Godang","ID","Padang Sidempuan",922.0,1.4001,99.4305
"AEH","Abecher","TD","Abecher",1788.0,13.847,20.8443
"AEK","Aseki","PG","Aseki",4106.0,-7.3508,146.194
"AEL","Albert Lea, MN","US","Albert Lea",1260.0,43.6815,-93.3672
"AEO","Aioun El Atrouss","MR","Aioun El Atrouss",951.0,16.7113,-9.63788
"AEP","Buenos Aires","AR","Buenos Aires",18.0,-34.5592,-58.4156
"AER","Sochi","RU","Adler/Sochi",89.0,43.4499,39.9566
"AES","Aalesund","NO","Aalesund",69.0,62.5625,6.1197
"AET","Allakaket, AK","US","Allakaket",441.0,66.5518,-152.622
"AEX","Int'l, LA","US","Alexandria",89.0,31.3274,-92.5498
"AEY","AKUREYRI","IS","Akureyri",6.0,65.66,-18.0727
"AFA","San Rafael, MD","AR","San Rafael",2470.0,-34.5883,-68.4039
"AFD","Port Alfred","ZA","Port Alfred",275.0,-33.5542,26.8777
"AFF","USAF Academy, CO","US","Colorado Springs",6572.0,38.9725,-104.821
"AFI","Amalfi, AN","CO","Amalfi",5507.0,6.89503,-75.0473
"AFL","Alta Floresta, MT","BR","Alta Floresta",948.0,-9.86639,-56.1063
"AFN","Municipal, NH","US","Jaffrey",1040.0,42.8051,-72.003
"AFO","Municipal, WY","US","Afton",6221.0,42.7112,-110.942
"AFR","Afore","PG","",2500.0,-9.14222,148.391
"AFT","Afutara","SB","Bila",23.0,-9.19139,160.949
"AFW","Alliance, TX","US","Fort Worth",722.0,32.9904,-97.3195
"AFY","AFYON","TR","AFYON",3310.0,38.7264,30.6011
"AGA","Agadir","MA","Agadir",250.0,30.3225,-9.412
"AGB","Augsburg","DE","Augsburg",1516.0,48.4253,10.9317
"AGC","Allegheny County, PA","US","Pittsburgh",1252.0,40.3544,-79.9302
"AGD","Anggi","ID","Anggi-Papua Island",6644.0,-1.3858,133.874
"AGE","Wangerooge","DE","Wangerooge",7.0,53.7828,7.91389
"AGF","Agen","FR","Agen",204.0,44.1747,0.590556
"AGG","Angoram","PG","Angoram",75.0,-4.05583,144.074
"AGH","Helsingborg","SE","Helsingborg",68.0,56.2961,12.8471
"AGI","Wageningen","SR","Wageningen",6.0,5.84125,-56.6732
"AGJ","Aguni","JP","Aguni",38.0,26.5928,127.24
"AGK","Kagua","PG","Kagua",5350.0,-6.39639,143.854
"AGL","Wanigela","PG","",53.0,-9.3375,149.156
"AGM","Ammassalik","GL","Tasiilaq",24.0,65.6123,-37.6183
"AGO","Municipal, AR","US","Magnolia",319.0,33.228,-93.217
"AGP","Malaga","ES","Malaga",53.0,36.6749,-4.49911
"AGR","Kheria","IN","Agra",551.0,27.1577,77.9609
"AGS","augusta","US","augusta",144.0,33.3699,-81.9645
"AGT","Guarani","PY","Ciudad del Este",846.0,-25.4545,-54.8427
"AGU","Aguascalientes","MX","Aguascalientes",6112.0,21.6996,-102.318
"AGV","Oswaldo Guevara Mujica, P","VE","Acarigua",640.0,9.55338,-69.2379
"AGW","Agnew, QL","AU","Agnew",160.0,-12.1456,142.149
"AGX","Agatti Island","IN","Agatti",14.0,10.8237,72.176
"AGY","Argyle Downs, WA","AU","Argyle Downs",407.0,-16.5086,128.922
"AGZ","Aggeneys","ZA","Aggeneys",2648.0,-29.2818,18.8139
"AHB","ABHA","SA","Abha",6858.0,18.2404,42.6566
"AHC","Amedee AAF, CA","US","Herlong",4012.0,40.2662,-120.153
"AHD","Downtown/Executive, OK","US","Ardmore",844.0,34.147,-97.1227
"AHE","Ahe","PF","Ahe Atoll",11.0,-14.4281,-146.257
"AHF","Municipal, NE","US","Arapahoe",2270.0,40.3395,-99.9065
"AHH","Municipal, WI","US","Amery",1088.0,45.2811,-92.3754
"AHI","Amahai","ID","Amahai",29.0,-3.34785,128.927
"AHL","Aishalton","GY","Aishalton",587.0,2.47321,-59.3216
"AHN","Ben Epps, GA","US","Athens",808.0,33.9486,-83.3263
"AHO","Alghero","IT","Alghero",87.0,40.6321,8.29077
"AHS","Ahuas","HN","Ahuas",249.0,15.4722,-84.3522
"AHU","Al Hoceima","MA","Al Hoceima",95.0,35.1771,-3.83952
"AHY","Ambatolahy","MG","Ambatolahy",340.0,-20.0158,45.535
"AHZ","L'Alpe d'Huez","FR","L'Alpe d'Huez",6102.0,45.0874,6.0836
"AIA","Alliance, NE","US","Alliance",3931.0,42.0532,-102.804
"AIC","Airok","MH","Bigatyelang Island",16.0,7.27942,168.826
"AID","Municipal, IN","US","Anderson",919.0,40.1086,-85.613
"AIE","Aiome","PG","Aiome",350.0,-5.1457,144.731
"AIF","Assis, SP","BR","Assis",1850.0,-22.64,-50.4531
"AIG","Yalinda","CF","Yalinga",1975.0,6.52,23.26
"AII","Ali-Sabieh","DJ","Ali-Sabieh",2313.0,11.1469,42.72
"AIK","Municipal, SC","US","Aiken",528.0,33.6494,-81.685
"AIL","Ailigandi","PA","Alligandi",55.0,9.2226,-78.0236
"AIN","Municipal, AK","US","Wainwright",41.0,70.638,-159.995
"AIO","Municipal, IA","US","Atlantic",1165.0,41.4073,-95.0469
"AIP","Ailinglapalap Island","IN","Adampur",775.0,31.4338,75.7588
"AIR","Aripuana, MT","BR","Aripuanã",623.0,-10.1883,-59.4573
"AIT","Aitutaki","CK","Aitutaki",14.0,-18.8309,-159.764
"AIU","Atiu","CK","Atiu Island",36.0,-19.9678,-158.119
"AIV","George Downer, AL","US","Aliceville",150.0,33.1065,-88.1978
"AIW","Ai-Ais","NA","Ai-Ais",2000.0,-27.995,17.5966
"AIZ","Lee C. Fine Memo","US","Kaiser-Lake Ozark",869.0,38.096,-92.5495
"AJA","Ajaccio","FR","Ajaccio",18.0,41.9236,8.80292
"AJF","Jouf","SA","Al-Jawf",2261.0,29.7851,40.1
"AJI","Agri","TR","Ağrı",5462.0,39.6556,43.0257
"AJJ","Akjoujt","MR","Akjoujt",403.0,19.728,-14.3772
"AJL","Aizwal","IN","Aizawl (Lengpui)",1398.0,23.8406,92.6197
"AJN","Ouani","KM","Anjouan",62.0,-12.131,44.43
"AJR","Arvidsjaur","SE","Arvidsjaur",1245.0,65.5903,19.2819
"AJU","Aracaju","BR","Aracaju",139.0,-10.984,-37.0703
"AJY","Manu Dayak","NE","Agades",1657.0,16.966,8.00011
"AKA","Ankang","CN","Ankang (Hanbin)",1209.0,32.757,108.873
"AKB","Atka, AK","US","Atka, AK",57.0,52.2203,-174.206
"AKC","Fulton Int'l, OH","US","Akron",1067.0,41.0375,-81.4669
"AKD","Akola","IN","Akola",999.0,20.6989,77.0569
"AKE","Akieni","GA","Akieni",1660.0,-1.13967,13.9036
"AKF","Kufrah","LY","Kufrah",1367.0,24.1787,23.314
"AKG","Anguganak","PG","Anguganak",937.0,-3.5605,142.217
"AKH","Al Kharj Airport","SA","Al Kharj Airport",1651.0,24.0627,47.5805
"AKI","Akiak, AK","US","Akiak",30.0,60.9029,-161.231
"AKJ","Asahikawa","JP","Asahikawa",721.0,43.6708,142.447
"AKK","Akhiok SPB, AK","US","Akhiok",44.0,56.9387,-154.183
"AKL","Auckland","NZ","Auckland",23.0,-37.012,174.786
"AKM","Zakouma","TD","ZaKouma",1370.0,10.8903,19.8172
"AKN","King Salmon, AK","US","King Salmon",73.0,58.6778,-156.652
"AKO","Washington County, CO","US","Akron",4714.0,40.1756,-103.222
"AKP","Anaktuvuk, AK","US","Anaktuvuk Pass",2102.0,68.1336,-151.743
"AKQ","Gunung Batin","ID","Astraksetra",99.0,-4.61114,105.232
"AKR","Akure","NG","Akure",1100.0,7.24674,5.30101
"AKS","Gwaunarru'u' (Malaita Island)","SB","Auki",5.0,-8.70257,160.682
"AKT","Akrotiri","CY","Akrotiri",76.0,34.5904,32.9879
"AKU","Aksu","CN","Aksu (Onsu)",3816.0,41.2625,80.2917
"AKV","Akulivik, QU","CA","Akulivik",75.0,60.8186,-78.1486
"AKX","Aktyubinsk","KZ","Aktyubinsk",738.0,50.2458,57.2067
"AKY","Sittwe","MM","Sittwe",27.0,20.1332,92.8707
"ALA","Almaty","KZ","Alma Ata",2234.0,43.3543,77.0428
"ALB","ALBANY","US","Albany",285.0,42.7483,-73.8017
"ALC","Alicante","ES","Alicante",142.0,38.2822,-0.558156
"ALD","Alerta","PE","Fortaleza",797.0,-11.683,-69.333
"ALE","Alpine, TX","US","Alpine",4515.0,30.3842,-103.684
"ALF","Alta","NO","Alta",9.0,69.9761,23.3717
"ALG","Algiers","DZ","Algiers",82.0,36.6939,3.21453
"ALH","Albany, WA","AU","Albany",233.0,-34.9433,117.809
"ALI","Int'l, TX","US","Alice",178.0,27.7409,-98.0269
"ALJ","Kortdoorn","ZA","Alexander Bay",98.0,-28.575,16.5333
"ALL","Albenga","IT","Albenga",148.0,44.0506,8.12743
"ALM","White Sands Regional, N","US","Alamogordo",4200.0,32.8399,-105.991
"ALN","St.Louis Regional, IL","US","Alton",544.0,38.8903,-90.046
"ALO","Waterloo","US","Waterloo",873.0,42.5571,-92.4003
"ALP","Aleppo","SY","Aleppo",1276.0,36.1807,37.2244
"ALQ","Federal, RS","BR","Alegrete",459.0,-29.8127,-55.8934
"ALR","Alexandra","NZ","Alexandra",752.0,-45.2105,169.371
"ALS","Municipal, CO","US","Alamosa",7539.0,37.4349,-105.867
"ALT","ALENQUER","BR","ALENQUER",55.0,-1.917,-54.7231
"ALU","Alula","SO","Caluula",6.0,11.9582,50.748
"ALW","Walla Walla","US","Walla Walla",1194.0,46.0949,-118.288
"ALX","Thomas C. Russell F","US","Alexander City",686.0,32.9147,-85.963
"AMA","Amarillo","US","Amarillo",3607.0,35.2194,-101.706
"AMB","Ambilobe","MG","",72.0,-13.1884,48.988
"AMC","Am Timan","TD","Am Timan",1420.0,11.034,20.274
"AMD","Ahmedabad","IN","Ahmedabad",189.0,23.0772,72.6347
"AME","Alto Molocue","MZ","Alto Molocue",1950.0,-15.6103,37.6814
"AMF","Ama","PG","",145.0,-4.10111,141.67
"AMH","Arba Minch","ET","",3901.0,6.03939,37.5905
"AMI","Selaparang","ID","Mataram",52.0,-8.56056,116.095
"AMJ","Almenara, MG","BR","Almenara",640.0,-16.1839,-40.6672
"AMK","Animas Airpark, CO","US","Durango",6684.0,37.2032,-107.869
"AMM","Amman","JO","Amman",2395.0,31.7226,35.9932
"AMN","Gratiot Community, MI","US","Alma",754.0,43.3221,-84.688
"AMO","Mao","TD","Mao",1072.0,14.1456,15.3144
"AMP","Ampanihy","MG","Ampanihy",771.0,-24.6997,44.7342
"AMQ","Pattimura","ID","Ambon",33.0,-3.71026,128.089
"AMS","Amsterdam","NL","Amsterdam",-11.0,52.3086,4.76389
"AMT","Amata, NT","AU","",695.0,-26.0974,131.203
"AMU","Amanab","PG","Amanab",1307.0,-3.586,141.214
"AMV","Amderma","RU","Amderma",13.0,69.7633,61.5564
"AMW","Ames, IA","US","Ames",956.0,41.992,-93.6218
"AMY","Ambatomainty","MG","",1025.0,-17.6867,45.6239
"AMZ","Ardmore","NZ","Manurewa",111.0,-37.0297,174.973
"ANA","Anaheim, CA","KE","Maasai Mara",6180.0,-1.27156,34.9555
"ANB","Metropolitan, AL","US","Anniston",612.0,33.5882,-85.8581
"ANC","Anchorage","US","Anchorage",152.0,61.1744,-149.996
"AND","County, SC","US","Anderson",782.0,34.4946,-82.7094
"ANE","Angers","FR","Angers",194.0,47.5603,-0.312222
"ANF","Cerro Morena Int'l","CL","Antofagasta",455.0,-23.4445,-70.4451
"ANG","Angouleme","FR","Angouleme",436.0,45.7292,0.221456
"ANI","Aniak, AK","US","Aniak",88.0,61.5816,-159.543
"ANJ","Zanaga","CG","Zanaga",1870.0,-2.85,13.817
"ANK","Ankara","TR","Ankara",2653.0,39.9498,32.6886
"ANM","Antalaha","MG","Antsirabe",20.0,-14.9994,50.3202
"ANN","Annette Island, AK","US","Metlakatla",119.0,55.037,-131.573
"ANO","Angoche","MZ","Angoche",121.0,-16.1819,39.9452
"ANP","Lee, MO","US","Annapolis",34.0,38.9429,-76.5684
"ANQ","Tri-State Steuben County, I","US","Angola",995.0,41.6397,-85.0835
"ANR","Antwerp","BE","Antwerp",39.0,51.1894,4.46028
"ANS","Andahuaylas","PE","Andahuaylas",11300.0,-13.7064,-73.3504
"ANU","Antigua","AG","Antigua",62.0,17.1367,-61.7927
"ANV","Anvik, AK","US","Anvik",291.0,62.6467,-160.191
"ANW","Ainsworth, NE","US","Ainsworth",2589.0,42.5792,-99.993
"ANX","Andoya","NO","Andenes",43.0,69.2925,16.1442
"ANY","Anthony, KS","US","Anthony",1340.0,37.1585,-98.0796
"ANZ","Angus Downs, NT","AU","Angus Downs Station",1724.0,-25.0325,132.275
"AOB","Annanberg","PG","",130.0,-4.90417,144.636
"AOC","Nobitz","DE","Kindsbach",640.0,50.9819,12.5064
"AOD","Abou Deia","TD","Abou-Deïa",1592.0,11.4773,19.2874
"AOE","Eskisehir H Polatkan","TR","Eskisehir",2588.0,39.8099,30.5194
"AOH","Allen County, OH","US","Lima",975.0,40.7069,-84.0267
"AOI","Ancona","IT","Ancona",49.0,43.6163,13.3623
"AOJ","Aomori","JP","Aomori",664.0,40.7347,140.691
"AOK","Karpathos","GR","Karpathos",66.0,35.4214,27.146
"AOL","Paso de los Libres, CR","AR","Paso de los Libres",230.0,-29.6894,-57.1521
"AOO","Blair County,","US","Altoona-Martinsburg",1503.0,40.2964,-78.32
"AOR","Sultan Abdul Halim","MY","Alor Setar",15.0,6.18967,100.398
"AOT","Aosta","IT","Aosta",1791.0,45.7385,7.36872
"AOU","Attopeu","LA","Attopeu",344.0,14.7931,107.045
"APA","Centennial","US","Denver",5885.0,39.5701,-104.849
"APB","Apolo","BO","Apolo",4639.0,-14.7356,-68.4119
"APC","Napa, CA","US","Napa",35.0,38.2132,-122.281
"APF","Naples","US","Naples",8.0,26.1526,-81.7753
"APG","Phillips AAF (Proving Gro","US","Aberdeen",57.0,39.4662,-76.1688
"APH","Camp A.P. Hill, VA","US","Bowling Green",220.0,38.0689,-77.3183
"API","Apiay, ME","CO","Apiay",1207.0,4.07607,-73.5627
"APK","Apataki, TU","PF","Apataki",8.0,-15.5736,-146.415
"APL","Nampula","MZ","Nampula",1444.0,-15.1056,39.2818
"APN","County Regional, MI","US","Alpena",690.0,45.0781,-83.5603
"APO","Apartado","CO","Carepa",46.0,7.81196,-76.7164
"APP","Asapa","PG","",1930.0,-8.97917,148.104
"APQ","Arapiraca, AL","BR","Arapiraca",886.0,-9.77536,-36.6292
"APR","April River","PG","April River",220.0,-4.67667,142.54
"APS","Anapolis, GO","BR","Anápolis",3648.0,-16.3623,-48.9271
"APT","Marion County, TN","US","Jasper",641.0,35.0607,-85.5853
"APU","Apucarana, PR","BR","Apucarana",2625.0,-23.6091,-51.3843
"APV","Apple Valley, CA","US","Apple Valley",3062.0,34.5753,-117.186
"APW","Apia","WS","Apia",58.0,-13.83,-172.008
"APX","Arapongas, PR","BR","Arapongas",2599.0,-23.3529,-51.4917
"APY","Alto Parnaiba, MA","BR","Alto Parnaíba",968.0,-9.08361,-45.9506
"APZ","Zapala, NE","AR","Zapala",3330.0,-38.9755,-70.1136
"AQA","Araraquara, SP","BR","Araraquara",2334.0,-21.812,-48.133
"AQB","Quiche","GT","Santa Cruz del Quiché",6631.0,15.0122,-91.1506
"AQI","Qaisumah","SA","Qaisumah",1174.0,28.3352,46.1251
"AQJ","Aqaba","JO","Aqaba",175.0,29.6116,35.0181
"AQM","Ariquemes, RO","BR","Ariquemes",466.0,-9.88044,-63.0471
"AQP","Arequipa","PE","Arequipa",8405.0,-16.3411,-71.5831
"AQY","Alyeska, AK","US","Girdwood",150.0,60.9688,-149.12
"ARA","Acadiana Regional, LA","US","New Iberia",24.0,30.0378,-91.8839
"ARB","Municipal, MI","US","Ann Arbor",839.0,42.223,-83.7456
"ARC","Arctic Village, AK","US","Arctic Village",2092.0,68.1147,-145.579
"ARD","Alor Island","ID","Kabola",10.0,-8.13234,124.597
"ARE","Arecibo","PR","Arecibo",23.0,18.4508,-66.6758
"ARF","Acaricuara","CO","Acaricuara",587.0,0.533333,-70.1333
"ARG","Walnut Ridge, AR","US","Walnut Ridge, AR",279.0,36.1247,-90.9251
"ARH","Talagi","RU","Arkhangelsk",62.0,64.6003,40.7167
"ARI","Arica","CL","Arica",167.0,-18.3485,-70.3387
"ARK","Arusha","TZ","Arusha",4550.0,-3.36779,36.6333
"ARL","Arli","BF","Arly",761.0,11.597,1.483
"ARM","Armidale, NS","AU","Armidale",3556.0,-30.5281,151.617
"ARN","Stockholm","SE","Stockholm",137.0,59.6519,17.9186
"ARO","Arboletas","CO","Arboletes",13.0,8.85512,-76.4227
"ARP","Aragip","PG","",1750.0,-9.88333,149.483
"ARQ","Arauquita","CO","Arauquita",512.0,7.02106,-71.3889
"ARR","Alto Rio Senguerr, CH","AR","Alto Rio Senguerr",2286.0,-45.0136,-70.8122
"ARS","Aragarcas, GO","BR","Aragarças",1061.0,-15.8994,-52.2411
"ART","Int'l, NY","US","Watertown",325.0,43.9919,-76.0217
"ARU","Aracatuba, SP","BR","Araçatuba",1361.0,-21.1415,-50.4246
"ARV","Noble F.Lee, WI","US","Minocqua",1629.0,45.9279,-89.7309
"ARW","Arad","RO","Arad",352.0,46.1766,21.262
"ARX","Asbury Park, NJ","BR","Aracati",128.0,-4.5689,-37.8051
"ARY","Ararat, VI","AU","Ararat",1008.0,-37.31,142.989
"ARZ","N'Zeto","AO","N'zeto",69.0,-7.25944,12.8631
"ASA","Assab","ER","Asab",46.0,13.0718,42.645
"ASB","Ashkhabad","TM","Ashkhabad",692.0,37.9868,58.361
"ASC","ASCENSION","BO","Ascension",807.0,-15.9303,-63.1567
"ASD","Andros Town, Andros Island","BS","",5.0,24.6979,-77.7956
"ASE","Aspen","US","Aspen",7820.0,39.2232,-106.869
"ASF","Narimanovo","RU","Astrakhan",-65.0,46.2828,48.0105
"ASG","Ashburton","NZ","",302.0,-43.9033,171.797
"ASH","Boire Field, NH","US","Nashua",199.0,42.7817,-71.5148
"ASI","Wideawake Field","SH","Georgetown",278.0,-7.9696,-14.3937
"ASJ","Amami O Shima","JP","Amami",27.0,28.4306,129.713
"ASK","Yamoussoukro","CI","Yamoussoukro",699.0,6.90317,-5.36558
"ASL","Harrison County, TX","US","Marshall",357.0,32.5205,-94.3078
"ASM","Asmara","ER","Asmara",7661.0,15.2919,38.9107
"ASN","Talladega, AL","US","Talladega",529.0,33.5699,-86.0509
"ASO","Assosa","ET","Asosa",5100.0,10.0185,34.5863
"ASP","Alice Springs","AU","Alice Springs",1789.0,-23.8066,133.903
"ASQ","Austin, NV","US","Austin",5730.0,39.468,-117.195
"ASR","Kayseri","TR","Kayseri",3463.0,38.7704,35.4954
"AST","Astoria, OR","US","Astoria",15.0,46.158,-123.879
"ASU","Asuncion","PY","Asuncion",292.0,-25.24,-57.52
"ASV","Amboseli","KE","Amboseli National Park",3755.0,-2.64505,37.2531
"ASW","Aswan","EG","Aswan",650.0,23.9681,32.8244
"ASX","Ashland, WI","US","Ashland",827.0,46.5485,-90.919
"ASY","Ashley, ND","US","Ashley",2032.0,46.0239,-99.3526
"ASZ","Asirim","PG","",1050.0,-6.00972,150.369
"ATA","Comandante FAP German Arias G","PE","Anta",9097.0,-9.34744,-77.5984
"ATB","Atbara","SD","Atbara",1181.0,17.7103,34.057
"ATC","Arthur's Town, Cay Island","BS","Arthur's Town",18.0,24.6294,-75.6738
"ATE","Antlers, OK","US","Antlers",575.0,34.1926,-95.6499
"ATF","Ambato","EC","Ambato",8502.0,-1.21207,-78.5746
"ATH","Athens","GR","Athens",308.0,37.9364,23.9445
"ATI","Int'l","UY","Artigas",410.0,-30.4007,-56.5079
"ATJ","Antsirabe","MG","Antsirabe",4997.0,-19.8392,47.0637
"ATK","Atqasuk, AK","US","Atqasuk",96.0,70.467,-157.436
"ATL","Atlanta","US","Atlanta",1026.0,33.6367,-84.4281
"ATM","Altamira, PA","BR","Altamira",368.0,-3.25314,-52.2539
"ATN","Namatanai","PG","Namatanai",150.0,-3.6695,152.438
"ATO","Ohio University, OH","US","Athens",766.0,39.211,-82.2314
"ATP","Airstrip","PG","Aitape",10.0,-3.14361,142.347
"ATQ","Raja Sansi","IN","Amritsar",756.0,31.7096,74.7973
"ATR","Mouakchott","MR","Atar",734.0,20.5068,-13.0432
"ATS","Artesia, NM","US","Artesia",3541.0,32.8525,-104.468
"ATT","Atmautluak, AK","US","Atmautluak",17.0,60.8667,-162.273
"ATV","Ati","TD","Ati",1089.0,13.2398,18.3159
"ATW","Appleton","US","Appleton",918.0,44.2581,-88.5191
"ATX","Atbasar","KZ","Atbasar",1010.0,51.8523,68.3669
"ATY","Municipal, SD","US","Watertown",1749.0,44.914,-97.1547
"ATZ","Asyut","EG","Asyut",748.0,27.0508,31.0163
"AUA","Aruba","AW","Aruba",60.0,12.5014,-70.0152
"AUC","Santiago Perez, AR","CO","Arauca",420.0,7.06888,-70.7369
"AUD","Augustus Downs, QL","AU","",46.0,-18.515,139.878
"AUE","Abu Rudeis","EG","Abu Rudes",43.0,28.9048,33.1938
"AUF","Auxerre","FR","Auxerre",523.0,47.8502,3.49711
"AUG","Augusta","US","Augusta",352.0,44.3206,-69.7973
"AUH","Abu Dhabi","AE","Abu Dhabi",88.0,24.4438,54.6517
"AUI","Aua Island","PG","Aua Island",4.0,-1.46056,143.065
"AUJ","Ambunti","PG","Ambunti",50.0,-4.21567,142.823
"AUK","Alakanuk, AK","US","Alakanuk",10.0,62.68,-164.66
"AUM","Austin, MN","US","Austin",1234.0,43.665,-92.9334
"AUN","Auburn, CA","US","Auburn",1539.0,38.9548,-121.082
"AUO","Opelika, AL","US","Auburn",777.0,32.6151,-85.434
"AUP","Agaun","PG","",3200.0,-9.93083,149.386
"AUQ","Atuona, MA","PF","Hiva Oa Island",1481.0,-9.76879,-139.011
"AUR","AURILLAC","FR","Aurillac",2096.0,44.8914,2.42194
"AUS","Austin","US","Austin",542.0,30.1975,-97.662
"AUT","Atauro","TL","Vila",29.0,-8.24313,125.606
"AUU","Aurukun Mission, QL","AU","Aurukun",31.0,-13.3541,141.721
"AUW","Municipal, WI","US","Wausau",1201.0,44.9262,-89.6266
"AUX","Metz","BR","Auxerre",771.0,-7.22787,-48.2405
"AUY","Aneityum","VU","Anatom Island",7.0,-20.2492,169.771
"AUZ","Municipal, IL","US","Aurora",712.0,41.7719,-88.4757
"AVB","Aviano","IT","Aviano",410.0,46.0319,12.5965
"AVI","Ciego de avi","CU","Ciego De Avila",335.0,22.0271,-78.7896
"AVK","Arvaikheer","MN","Arvaikheer",5932.0,46.2503,102.802
"AVL","Asheville","US","Asheville",2165.0,35.4362,-82.5418
"AVN","Avignon","FR","Avignon",124.0,43.9073,4.90183
"AVO","Avon Park, FL","US","Avon Park",160.0,27.5912,-81.5278
"AVP","Wilkes-Barre","US","Wilkes-Barre",962.0,41.3385,-75.7234
"AVU","Haimarau (Guadalcanal Isla","SB","Avu Avu",25.0,-9.86833,160.411
"AVV","Avalon","AU","Avalon, VI",35.0,-38.0394,144.469
"AVW","Avra Valley, AZ","US","Tucson",2031.0,32.4091,-111.216
"AVX","Avalon Bay, CA","US","Catalina Island",1602.0,33.4049,-118.416
"AWA","Lake Awasa","ET","Awasa",5450.0,7.09987,38.3962
"AWB","Awaba","PG","Awaba",32.0,-8.00611,142.748
"AWD","Aniwa","VU","Aniwa",69.0,-19.2346,169.601
"AWE","Alowe","GA","Wonga Wongué Presidential Reserve",600.0,-0.545,9.444
"AWK","Wake Island","UM","Wake Island",14.0,19.2824,166.637
"AWM","Municipal, AR","US","West Memphis",212.0,35.1351,-90.2344
"AWZ","Ahwaz","IR","Ahvaz",66.0,31.3374,48.762
"AXA","Wallblake","AI","Anguilla",127.0,18.2048,-63.0538
"AXB","Alexandria Bay, NY","US","Alexandria Bay",340.0,44.312,-75.9003
"AXC","Aramac, QL","AU","",232.0,-22.9579,145.249
"AXD","Alexandr.Pls","GR","Alexandroupolis",24.0,40.8559,25.9563
"AXE","Xanxere, SC","BR","Xanxerê",2986.0,-26.8756,-52.3731
"AXG","Algona, IA","US","Algona",1219.0,43.0779,-94.272
"AXK","Ataq","YE","Ataq",3735.0,14.5513,46.8262
"AXM","Armenia, QU","CO","Armenia",3990.0,4.45278,-75.7664
"AXN","Chandler Field, MN","US","Alexandria",1425.0,45.8663,-95.3947
"AXP","Spring Point, Acklins Island","BS","Spring Point",11.0,22.4418,-73.9709
"AXR","Arutua, TU","PF","",9.0,-15.2483,-146.617
"AXS","Municipal, OK","US","Altus",1433.0,34.698,-99.3385
"AXT","AKITA","JP","Akita",313.0,39.6156,140.219
"AXU","Axum","ET","Axum",6959.0,14.1468,38.7728
