"iata","name","country_iso","city","elevation_ft","latitude_deg","longitude_deg"
"KSN","Kostanay","KZ","Kostanay",595.0,53.2069,63.5503
"KSO","Aristotelis","GR","Kastoria",2167.0,40.4463,21.2822
"KSP","Kosipe","PG","Kosipe Mission",6350.0,-8.45072,147.209
"KSQ","Karshi","UZ","Karshi",1230.0,38.8022,65.7731
"KSR","Federal No.1, AK","ID","Sandy River",13.0,-6.17921,120.437
"KSS","Sikasso","ML","Sikasso",1378.0,11.3286,-5.68472
"KSU","Kristiansund","NO","Kristiansund",204.0,63.1118,7.82452
"KSW","Kiryat-Shmona","IL","Kiryat Shmona",381.0,33.2167,35.6
"KSX","Yasuru","PG","Yasuru",1520.0,-6.6015,146.181
"KSY","Kars","TR","Kars",5889.0,40.5622,43.115
"KSZ","Kotlas","RU","Kotlas",184.0,61.2358,46.6975
"KTA","Karratha, WA","AU","Karratha",29.0,-20.7122,116.773
"KTB","SPB, AK","US","Thorne Bay",0.0,55.688,-132.537
"KTC","Katiola","CI","Katiola",1026.0,8.13286,-5.06487
"KTD","Kitadaito","JP","Kitadaitōjima",80.0,25.9447,131.327
"KTE","Petronas","MY","Kerteh",18.0,4.53722,103.427
"KTF","Takaka","NZ","",102.0,-40.8133,172.775
"KTG","Rahadi Usman","ID","Ketapang",46.0,-1.81685,109.963
"KTH","SPB, AK","US","Tikchik",304.0,59.9632,-158.477
"KTL","Kitale","KE","Kitale",6070.0,0.971989,34.9586
"KTM","Kathmandu","NP","Kathmandu",4390.0,27.6966,85.3591
"KTN","Int'l, AK","US","Ketchikan",89.0,55.3556,-131.714
"KTO","Kato","GY","Kato",2299.0,4.64916,-59.8322
"KTP","Tinson Peninsula","JM","Kingston",16.0,17.9886,-76.8238
"KTQ","Kitee","FI","Kitee",364.0,62.1661,30.0736
"KTR","Tindal, NT","AU","Katherine",443.0,-14.5211,132.378
"KTS","Brevig Mission, AK","US","Teller Mission",38.0,65.3313,-166.466
"KTT","Kittila","FI","Kittila",644.0,67.701,24.8468
"KTU","Kota","IN","Kota",896.0,25.1602,75.8456
"KTV","Kamarata, BO","VE","Kamarata",1770.0,5.7171,-62.3373
"KTW","Katowice","PL","Katowice",995.0,50.4743,19.08
"KTX","Koutiala","ML","Koutiala",1240.0,12.383,-5.467
"KUA","Kuantan","MY","Kuantan",58.0,3.77539,103.209
"KUD","Kudat","MY","Kudat",10.0,6.92411,116.837
"KUE","Kukundu","SB","Kolombangara Island",32.0,-8.0262,156.948
"KUF","Samara/Kurumoch","RU","Samara",477.0,53.5049,50.1643
"KUG","Kubin Island, QL","AU","Moa Island",15.0,-10.225,142.218
"KUH","Kushiro","JP","Kushiro",327.0,43.041,144.193
